"fork_length","dead","weight","count","r_catch","interp","age_class","brood_year","subsample","common_name","life_stage","station_code","sample_date","sample_id","run","fws_run"
133,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Sucker","not provided","UBC",2022-11-11,"315_22","not provided",NA
142,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-11-10,"314_22","not provided",NA
32,FALSE,0,4,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-17,"321_21","Spring",NA
98,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Pacific Lamprey ammocoete","not provided","UBC",2022-11-16,"320_22","not provided",NA
33,FALSE,0,25,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-17,"321_22","Spring",NA
32,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UBC",2022-10-05,"278_22","Winter",NA
104,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Pacific Lamprey macropthalmia","not provided","UBC",2022-11-17,"321_22","not provided",NA
34,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-20,"324_22","Spring",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UBC",2022-10-04,"277_22","Winter",NA
82,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-10-26,"299_22","not provided",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","LCC",2022-11-18,"322_22","Spring",NA
34,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-19,"323_22","Spring",NA
125,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Pacific Lamprey ammocoete","not provided","UBC",2022-10-04,"277_22","not provided",NA
32,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-20,"324_22","Spring",NA
32,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UBC",2022-10-04,"277_22","Winter",NA
33,TRUE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-19,"323_22","Spring",NA
34,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-19,"323_22","Spring",NA
128,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Tule Perch","not provided","UBC",2022-10-02,"275_22","not provided",NA
128,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-11-11,"315_22","not provided",NA
37,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-20,"324_22","Spring",NA
115,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-11-04,"308_22","not provided",NA
130,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Sacramento Pikeminnow","not provided","UBC",2022-11-08,"312_22","not provided",NA
33,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Chinook Salmon","obvious fry","UCC",2022-11-19,"323_22","Spring",NA
84,FALSE,0,1,NA,FALSE,NA,NA,"not provided","Hardhead","not provided","UBC",2022-11-12,"316_22","not provided",NA
