fork_length,dead,weight,count,fws_run,r_catch,interp,age_class,brood_year,subsample,common_name,life_stage,station_code,sample_date,sample_id,run
145,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,UCC,2023-12-27,361_23,not provided
134,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,UCC,2023-12-20,354_23,not provided
120,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,LCC,2024-01-02,002_24,not provided
155,FALSE,48.5,1,,1,FALSE,NA,2023,not provided,Rainbow Trout,silvery parr,UCC,2023-11-23,327_23,not provided
36,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Hardhead,not provided,UBC,2024-01-29,029_24,not provided
115,FALSE,0,3,,3,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,LCC,2023-12-20,354_23,not provided
144,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,LCC,2023-12-22,356_23,not provided
37,FALSE,0,3,F,3,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,LCC,2024-01-31,031_24,Fall
47,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Riffle Sculpin,not provided,UCC,2024-01-28,028_24,not provided
111,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,UBC,2024-02-06,037_24,not provided
110,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,UCC,2024-01-03,003_24,not provided
28,FALSE,0,1,,1,FALSE,NA,2024,not provided,Rainbow Trout,fry,LCC,2024-02-08,039_24,not provided
0,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Unidentified ammocoete,not provided,UCC,2023-12-07,341_23,not provided
134,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,LCC,2024-01-14,014_24,not provided
147,FALSE,37.400002,1,,1,FALSE,NA,2023,not provided,Rainbow Trout,silvery parr,UBC,2023-11-20,324_23,not provided
126,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,UBC,2024-02-06,037_24,not provided
37,FALSE,0,21,F,21,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,LCC,2024-01-09,009_24,Fall
128,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Pacific Lamprey ammocoete,not provided,UCC,2023-11-21,325_23,not provided
47,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Riffle Sculpin,not provided,UBC,2023-10-12,285_23,not provided
31,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Sacramento Sucker,not provided,UBC,2023-11-01,305_23,not provided
0,FALSE,0,72,,NA,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,UBC,2024-01-13,014_24,not provided
21,FALSE,0,1,,NA,FALSE,NA,NA,not provided,Sacramento Sucker,not provided,UBC,2023-10-08,281_23,not provided
36,FALSE,0,1,F,1,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,LCC,2024-01-15,015_24,Fall
25,FALSE,0,1,,1,FALSE,NA,2024,not provided,Rainbow Trout,fry,LCC,2024-03-08,068_24,not provided
39,FALSE,0,4,F,4,FALSE,NA,2023,not provided,Chinook Salmon,obvious fry,LCC,2024-01-03,003_24,Fall
115,FALSE,0,3,,NA,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,UBC,2024-01-23,023_24,not provided
134,FALSE,0,1,,1,FALSE,NA,NA,not provided,Pacific Lamprey macropthalmia,not provided,LCC,2024-01-17,017_24,not provided
